01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2009,Cartaxo,Município,Básico - 1º Ciclo,,,,,86.4
2009,Cartaxo,Município,Básico - 2º Ciclo,,,,,50.0
2009,Cartaxo,Município,Básico - 3º Ciclo e secundário,,,,,154.5
2009,Cartaxo,Município,Educação Pré-Escolar,,,,,40.0
2009,Cascais,Município,Básico - 1º Ciclo,,,,,43.5
2009,Cascais,Município,Básico - 2º Ciclo,,,,,135.7
2009,Cascais,Município,Básico - 3º Ciclo e secundário,,,,,149.7
2009,Cascais,Município,Educação Pré-Escolar,,,,,56.2
2009,Castanheira de Pêra,Município,Básico - 1º Ciclo,,,,-,
2009,Castanheira de Pêra,Município,Básico - 2º Ciclo,,,,-,
2009,Castanheira de Pêra,Município,Básico - 3º Ciclo e secundário,,,,-,
2009,Castanheira de Pêra,Município,Educação Pré-Escolar,,,,-,
2009,Castelo Branco,Município,Básico - 1º Ciclo,,,,,233.3
2009,Castelo Branco,Município,Básico - 2º Ciclo,,,,,352.6
2009,Castelo Branco,Município,Básico - 3º Ciclo e secundário,,,,,173.1
2009,Castelo Branco,Município,Educação Pré-Escolar,,,,,176.9
2009,Castelo de Paiva,Município,Básico - 1º Ciclo,,,,,48.6
2009,Castelo de Paiva,Município,Básico - 2º Ciclo,,,,,26.3
2009,Castelo de Paiva,Município,Básico - 3º Ciclo e secundário,,,,,5.8
2009,Castelo de Paiva,Município,Educação Pré-Escolar,,,,,28.6
2009,Castelo de Vide,Município,Básico - 1º Ciclo,,,,,100.0
2009,Castelo de Vide,Município,Básico - 2º Ciclo,,,,,200.0
2009,Castelo de Vide,Município,Básico - 3º Ciclo e secundário,,,,,40.0
2009,Castelo de Vide,Município,Educação Pré-Escolar,,,,,33.3
2009,Castro Daire,Município,Básico - 1º Ciclo,,,,,170.0
2009,Castro Daire,Município,Básico - 2º Ciclo,,,,,90.9
2009,Castro Daire,Município,Básico - 3º Ciclo e secundário,,,,,32.1
2009,Castro Daire,Município,Educação Pré-Escolar,,,,,100.0
2009,Castro Marim,Município,Básico - 1º Ciclo,,,,,12.5
2009,Castro Marim,Município,Básico - 2º Ciclo,,,,,100.0
2009,Castro Marim,Município,Básico - 3º Ciclo e secundário,,,,,11.8
2009,Castro Marim,Município,Educação Pré-Escolar,,,,-,
2009,Castro Verde,Município,Básico - 1º Ciclo,,,,,41.7
2009,Castro Verde,Município,Básico - 2º Ciclo,,,,,62.5
2009,Castro Verde,Município,Básico - 3º Ciclo e secundário,,,,,42.9
2009,Castro Verde,Município,Educação Pré-Escolar,,,,,150.0
2009,Celorico da Beira,Município,Básico - 1º Ciclo,,,,,1600.0
