01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2023,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,,10.6
2023,Portugal,,Total,10º ano,,,,11.2
2023,Portugal,,Total,11º ano,,,,4.8
2023,Portugal,,Total,12º ano,,,,13.2
2023,Portugal,,Total,Total,,,,9.8
2009,Abrantes,Município,Cursos gerais,10º ano,,,,22.4
2009,Abrantes,Município,Cursos gerais,11º ano,,,,9.4
2009,Abrantes,Município,Cursos gerais,12º ano,,,,30.7
2009,Abrantes,Município,Cursos gerais,Total,,,,20.7
2009,Abrantes,Município,Cursos Tecnológicos e Profissionais,10º ano,,,,26.6
2009,Abrantes,Município,Cursos Tecnológicos e Profissionais,11º ano,,,,10.3
2009,Abrantes,Município,Cursos Tecnológicos e Profissionais,12º ano,,,,21.5
2009,Abrantes,Município,Cursos Tecnológicos e Profissionais,Total,,,,20.9
2009,Abrantes,Município,Total,10º ano,,,,24.0
2009,Abrantes,Município,Total,11º ano,,,,9.7
2009,Abrantes,Município,Total,12º ano,,,,28.4
2009,Abrantes,Município,Total,Total,,,,20.8
2009,Águeda,Município,Cursos gerais,10º ano,,,,26.0
2009,Águeda,Município,Cursos gerais,11º ano,,,,15.1
2009,Águeda,Município,Cursos gerais,12º ano,,,,35.6
2009,Águeda,Município,Cursos gerais,Total,,,,25.9
2009,Águeda,Município,Cursos Tecnológicos e Profissionais,10º ano,,,,16.0
2009,Águeda,Município,Cursos Tecnológicos e Profissionais,11º ano,,,,6.0
2009,Águeda,Município,Cursos Tecnológicos e Profissionais,12º ano,,,,13.6
2009,Águeda,Município,Cursos Tecnológicos e Profissionais,Total,,,,11.7
2009,Águeda,Município,Total,10º ano,,,,22.8
2009,Águeda,Município,Total,11º ano,,,,11.6
2009,Águeda,Município,Total,12º ano,,,,30.4
2009,Águeda,Município,Total,Total,,,,21.4
2009,Aguiar da Beira,Município,Cursos gerais,10º ano,,,,0.0
2009,Aguiar da Beira,Município,Cursos gerais,11º ano,,,,0.0
2009,Aguiar da Beira,Município,Cursos gerais,12º ano,,,,27.8
2009,Aguiar da Beira,Município,Cursos gerais,Total,,,,9.1
2009,Aguiar da Beira,Município,Cursos Tecnológicos e Profissionais,10º ano,,,,5.6
2009,Aguiar da Beira,Município,Cursos Tecnológicos e Profissionais,11º ano,,,,0.0
2009,Aguiar da Beira,Município,Cursos Tecnológicos e Profissionais,12º ano,,,,14.3
2009,Aguiar da Beira,Município,Cursos Tecnológicos e Profissionais,Total,,,,6.5
2009,Aguiar da Beira,Município,Total,10º ano,,,,3.5
2009,Aguiar da Beira,Município,Total,11º ano,,,,0.0
2009,Aguiar da Beira,Município,Total,12º ano,,,,21.9
2009,Aguiar da Beira,Município,Total,Total,,,,7.7
2009,Alandroal,Município,Cursos gerais,10º ano,,,-,
2009,Alandroal,Município,Cursos gerais,11º ano,,,-,
2009,Alandroal,Município,Cursos gerais,12º ano,,,-,
2009,Alandroal,Município,Cursos gerais,Total,,,-,
2009,Alandroal,Município,Cursos Tecnológicos e Profissionais,10º ano,,,,14.3
2009,Alandroal,Município,Cursos Tecnológicos e Profissionais,11º ano,,,-,
2009,Alandroal,Município,Cursos Tecnológicos e Profissionais,12º ano,,,-,
2009,Alandroal,Município,Cursos Tecnológicos e Profissionais,Total,,,,14.3
2009,Alandroal,Município,Total,10º ano,,,,14.3
2009,Alandroal,Município,Total,11º ano,,,-,
2009,Alandroal,Município,Total,12º ano,,,-,
2009,Alandroal,Município,Total,Total,,,,14.3
2009,Albergaria-a-Velha,Município,Cursos gerais,10º ano,,,,18.1
2009,Albergaria-a-Velha,Município,Cursos gerais,11º ano,,,,11.9
2009,Albergaria-a-Velha,Município,Cursos gerais,12º ano,,,,28.8
2009,Albergaria-a-Velha,Município,Cursos gerais,Total,,,,19.1
2009,Albergaria-a-Velha,Município,Cursos Tecnológicos e Profissionais,10º ano,,,,9.5
2009,Albergaria-a-Velha,Município,Cursos Tecnológicos e Profissionais,11º ano,,,,2.2
2009,Albergaria-a-Velha,Município,Cursos Tecnológicos e Profissionais,12º ano,,,,20.2
2009,Albergaria-a-Velha,Município,Cursos Tecnológicos e Profissionais,Total,,,,10.7
2009,Albergaria-a-Velha,Município,Total,10º ano,,,,14.7
2009,Albergaria-a-Velha,Município,Total,11º ano,,,,7.9
2009,Albergaria-a-Velha,Município,Total,12º ano,,,,24.9
2009,Albergaria-a-Velha,Município,Total,Total,,,,15.5
2009,Albufeira,Município,Cursos gerais,10º ano,,,,24.3
2009,Albufeira,Município,Cursos gerais,11º ano,,,,13.5
2009,Albufeira,Município,Cursos gerais,12º ano,,,,36.2
2009,Albufeira,Município,Cursos gerais,Total,,,,24.6
2009,Albufeira,Município,Cursos Tecnológicos e Profissionais,10º ano,,,,16.8
2009,Albufeira,Município,Cursos Tecnológicos e Profissionais,11º ano,,,,4.3
2009,Albufeira,Município,Cursos Tecnológicos e Profissionais,12º ano,,,,38.5
2009,Albufeira,Município,Cursos Tecnológicos e Profissionais,Total,,,,16.8
2009,Albufeira,Município,Total,10º ano,,,,21.1
2009,Albufeira,Município,Total,11º ano,,,,9.1
2009,Albufeira,Município,Total,12º ano,,,,37.0
2009,Albufeira,Município,Total,Total,,,,21.4
2009,Alcácer do Sal,Município,Cursos gerais,10º ano,,,,10.0
2009,Alcácer do Sal,Município,Cursos gerais,11º ano,,,,7.1
2009,Alcácer do Sal,Município,Cursos gerais,12º ano,,,,40.6
2009,Alcácer do Sal,Município,Cursos gerais,Total,,,,20.5
